=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.05.12 16:41:28 =~=~=~=~=~=~=~=~=~=~=~=
99106,-0.95,-0.77,8.41,0.00,0.00,0.00,-3.44,-6.62,-10.25,128.44,-3.94,-8.31
99206,-0.12,-1.08,7.70,0.00,0.00,0.00,-8.25,8.12,-6.38,1BNO055 ID: 0xA0
BNO055 detected
BNO055 set to NDOF mode
DHT22: T=21.6 C | RH=66.0%
timestamp_ms,ax,ay,az,mx,my,mz,gx,gy,gz,heading,roll,pitch
3608,-0.55,0.24,9.31,0.00,0.00,0.00,-0.88,-0.25,-1.44,123.25,-2.81,1.69
DHT22: T=21.6 C | RH=66.0%
3708,-0.52,0.30,9.53,0.00,0.00,0.00,-0.25,2.38,-1.56,123.25,-3.00,1.62
3809,-0.51,0.22,9.50,0.00,0.00,0.00,3.25,3.94,-1.25,123.31,-3.25,1.81
3909,-0.58,0.38,9.53,0.00,0.00,0.00,-0.88,1.06,0.00,123.50,-3.50,2.06
4009,-0.50,0.37,9.96,0.00,0.00,0.00,2.69,-2.38,-2.88,123.62,-11.25,2.12
4107,-0.60,0.31,9.31,0.00,0.00,0.00,-6.88,5.69,-0.94,123.75,-3.62,1.75
4206,-0.72,0.23,9.18,0.00,0.00,0.00,1.69,-0.25,-2.12,124.06,-3.81,1.62
4306,-0.58,0.13,9.08,0.00,0.00,0.00,7.12,-1.81,0.06,123.94,-3.56,2.06
4406,-0.66,0.55,10.32,0.00,0.00,0.00,-1.50,11.44,-0.31,123.75,-3.88,2.44
4507,-0.79,0.09,9.79,0.00,0.00,0.00,-5.38,8.25,0.69,123.69,-4.94,1.94
4607,-0.79,0.45,8.57,0.00,0.00,0.00,-2.06,-5.88,-1.50,123.56,-4.56,1.56
4707,-0.49,0.03,11.40,0.00,0.00,0.00,-10.81,-15.06,-1.56,123.62,-4.25,0.88
4808,-0.69,-0.33,11.55,0.00,0.00,0.00,-40.50,-1.56,-3.81,123.44,-3.69,-1.69
4908,-0.49,-0.88,8.16,0.00,0.00,0.00,-31.69,-2.44,-1.12,123.50,-3.56,-5.81
5008,-0.89,-1.01,7.09,0.00,0.00,0.00,-19.56,-3.69,-11.81,124.19,-3.62,-8.00
5108,-0.72,-1.37,6.91,0.00,0.00,0.00,-0.69,-5.44,-5.19,124.31,-3.94,-9.06
5207,-0.49,-1.12,6.42,0.00,0.00,0.00,14.75,7.38,2.44,124.50,-3.38,-8.19
5306,-0.96,-1.26,9.68,0.00,0.00,0.00,28.69,53.69,19.44,123.12,-7.25,-6.81
5406,-1.72,-0.43,11.67,0.00,0.00,0.00,31.56,-26.38,6.19,122.69,-8.19,-2.50
5506,-1.43,0.10,13.13,0.00,0.00,0.00,16.75,-6.69,-8.62,122.94,-7.12,-0.81
5606,-0.78,-0.05,11.74,0.00,0.00,0.00,-1.56,-22.50,-0.94,123.06,-4.88,-0.06
5706,-0.61,-0.36,10.83,0.00,0.00,0.00,-23.12,-11.69,-0.44,122.81,-3.75,-2.31
5806,-0.38,-0.37,7.04,0.00,0.00,0.00,-27.31,-8.12,1.50,123.31,-3.50,-2.81
5906,-0.47,-0.86,7.26,0.00,0.00,0.00,-14.38,9.31,-4.25,123.06,-4.06,-5.88
6006,-0.62,-0.85,7.02,0.00,0.00,0.00,-2.75,-9.38,0.81,123.19,-3.38,-6.62
6106,-0.55,-1.09,7.42,0.00,0.00,0.00,14.75,3.06,-12.50,123.94,-3.44,-6.00
DHT22: T=21.6 C | RH=66.0%
6206,-1.01,-0.89,7.75,0.00,0.00,0.00,22.12,17.88,7.94,124.94,-5.00,-4.31
6306,-0.64,-0.27,10.57,0.00,0.00,0.00,44.44,-12.00,-0.62,124.94,-3.50,-0.81
6406,-0.63,0.05,12.09,0.00,0.00,0.00,19.81,4.56,4.00,124.50,-4.56,0.94
6506,-1.02,0.12,12.35,0.00,0.00,0.00,-5.62,5.00,1.75,124.69,-5.19,1.81
6606,-0.82,0.34,10.40,0.00,0.00,0.00,-27.88,-1.31,-4.00,124.88,-5.38,0.06
6706,-1.02,-0.83,9.64,0.00,0.00,0.00,-24.75,4.31,-12.12,125.56,-5.44,-2.38
6806,-0.69,-0.71,8.72,0.00,0.00,0.00,-33.75,4.31,-9.75,126.44,-5.56,-5.50
6906,-1.26,-1.12,7.85,0.00,0.00,0.00,-21.38,3.00,-8.25,127.19,-6.12,-8.44
7006,-0.47,-0.45,5.25,0.00,0.00,0.00,0.00,8.62,-4.62,127.94,-6.56,-9.81
7106,-1.43,-1.70,8.32,0.00,0.00,0.00,16.94,3.62,6.44,127.62,-7.31,-8.31
7206,-0.92,-0.77,8.89,0.00,0.00,0.00,26.25,-5.31,12.31,126.88,-7.12,-5.75
7306,-1.04,-0.80,10.68,0.00,0.00,0.00,29.00,-9.25,1.56,126.56,-7.00,-3.38
7406,-1.04,-0.45,11.70,0.00,0.00,0.00,2.31,-2.38,3.88,126.25,-6.00,-2.00
7506,-1.22,-0.46,11.94,0.00,0.00,0.00,2.50,2.69,2.12,125.94,-5.81,-1.44
7606,-0.97,-0.37,11.76,0.00,0.00,0.00,-18.88,-11.69,-0.12,126.00,-5.62,-2.56
7706,-0.50,-0.89,9.33,0.00,0.00,0.00,-31.50,-6.38,-8.69,126.31,-4.81,-5.25
7806,-0.78,-1.40,7.61,0.00,0.00,0.00,-18.19,1.62,-11.69,127.06,-4.69,-8.31
7906,-0.81,-1.17,6.39,0.00,0.00,0.00,-18.12,9.94,-0.88,127.81,-5.19,-10.00
8006,-0.90,-1.25,6.08,0.00,0.00,0.00,12.75,-5.00,6.75,127.69,-5.56,-9.88
8107,-0.86,-1.12,8.63,0.00,0.00,0.00,18.12,-2.38,6.62,126.88,-5.88,-8.38
8207,-0.42,-0.90,9.72,0.00,0.00,0.00,35.50,-4.06,2.75,126.69,-5.00,-4.69
8308,-0.63,-0.45,11.56,0.00,0.00,0.00,17.94,-6.06,7.31,126.31,-5.38,-2.31
8408,-1.11,-0.65,12.88,0.00,0.00,0.00,1.56,9.12,0.44,126.12,-5.88,-1.12
8508,-1.35,-0.60,12.74,0.00,0.00,0.00,-23.88,-11.19,-2.44,126.06,-5.31,-1.75
8609,-0.75,-0.60,9.73,0.00,0.00,0.00,-37.94,-6.12,-7.88,126.44,-4.06,-4.81
DHT22: T=21.6 C | RH=66.0%
8709,-0.46,-1.04,8.46,0.00,0.00,0.00,-30.38,-6.44,-9.00,127.25,-3.56,-8.12
8809,-0.60,-1.70,6.78,0.00,0.00,0.00,-21.81,7.94,-4.38,127.56,-3.69,-10.75
8908,-0.75,-1.66,6.70,0.00,0.00,0.00,-5.38,6.12,1.88,128.00,-4.62,-11.69
9006,-0.86,-1.79,7.84,0.00,0.00,0.00,14.50,-2.56,3.19,127.75,-4.69,-10.75
9106,-0.75,-1.51,8.74,0.00,0.00,0.00,34.06,3.88,2.50,127.56,-4.56,-8.12
9206,-0.67,-0.69,10.31,0.00,0.00,0.00,36.00,4.69,0.12,127.56,-5.12,-4.56
9306,-1.08,-0.79,12.12,0.00,0.00,0.00,10.50,-1.62,2.31,127.56,-5.38,-2.44
9407,-0.94,-0.77,11.75,0.00,0.00,0.00,-2.12,-10.12,0.44,127.50,-4.62,-2.25
9507,-0.79,326.97,10.97,0.00,0.00,0.00,-18.75,3.44,-3.44,127.69,-4.50,-3.56
9608,-0.67,-1.26,10.32,0.00,0.00,0.00,-34.12,-4.25,-5.50,128.06,-4.31,-6.44
